file_name,publication bias,unpublished_data,gray_literature,funnel plot,trim and fill,egger,fail safe n,pet-peese,robma,year
2023.0_Competitive scenarios increase competition in women: A meta-analysis..pdf,True,True,True,True,False,False,True,False,False,2023.0
2020.0_Response time fluctuations in the sustained attention to response task predict performance accuracy and meta-awareness of attentional states..pdf,False,False,True,False,False,False,False,False,False,2020.0
2021.0_The efficacy of mindfulness meditation apps in enhancing users' well-being and mental health related outcomes: a meta-analysis of randomized controlled trials.pdf,True,True,True,True,True,True,True,False,False,2021.0
"2021.0_Self-regulated learning training programs enhance university students' academic performance, self-regulated learning strategies, and motivation: A meta-analysis.pdf",True,True,True,True,True,True,False,False,False,2021.0
"2018.0_A meta-analysis with examination of moderators of student cognition, affect, and learning outcomes while using serious educational games, serious games, and Â.pdf",True,False,True,True,False,False,False,False,False,2018.0
2018_Treatment effect on recidivism for juveniles who have sexually offended: A multilevel meta-analysis.pdf,True,True,True,False,True,False,False,False,False,2018.0
2018.0_Cultural adaptations and therapist multicultural competence: Two meta?analytic reviews.pdf,True,True,False,True,True,True,False,False,False,2018.0
"2021.0_Training and organisational performance: A meta?analysis of temporal, institutional and organisational context moderators.pdf",True,True,True,True,False,True,False,False,False,2021.0
2018.0_A meta-analysis of test scores in proctored and unproctored ability assessments.pdf,True,True,True,True,False,False,False,False,False,2018.0
2022.0_Associations between obstructive sleep apnea and cardiac troponin T levels: a meta-analysis.pdf,True,False,True,True,False,True,False,False,False,2022.0
2021.0_Exploring the leadershipÂengagement nexus: A moderated meta-analysis and review of explaining mechanisms.pdf,True,False,True,True,True,False,True,False,False,2021.0
"2020.0_Leadership, creativity and innovation: a meta-analytic review.pdf",True,True,True,False,False,False,False,False,False,2020.0
"2018.0_Social value orientation, expectations, and cooperation in social dilemmas: A metaanalysis.pdf",True,True,True,True,False,True,False,False,False,2018.0
2022.0_Efficacy of technology-based interventions in psychosis: a systematic review and network meta-analysis.pdf,True,False,True,True,False,True,False,False,False,2022.0
2021.0_Efficacy of physiotherapy treatment in primary dysmenorrhea: a systematic review and meta-analysis.pdf,True,False,True,True,False,False,False,False,False,2021.0
2019.0_A comprehensive meta-analysis of money priming..pdf,True,True,True,True,False,True,False,False,False,2019.0
